canonical,synonyms,definition,category,deprecated_or_forbidden
campaign,setup / thesis,"The multi-timeframe DNA structure for one symbol, grouped into Direction / Campaign / Confirmation / Timing / Right-now tiers.",DNA-specific,"Do not call it ""trend"" — trend is a single-TF slope, campaign is the multi-TF structure."
constructive,supportive / bullish-leaning,"Upper-tier structure that supports holding a position. A statement about structure, not a directional promise.",market-standard,"Do not say ""bullish"" — implies a directional call; ""constructive"" is structural."
expanding,running / adding,"Campaign tier actively building on IGNITION / EXPANSION / ADD / STRONG START events.",DNA-event-derived,"None"
repairing,recovering / reloading,"Rebuilding after a prior failure, signalled by RELOAD / RECOVERY / RECOVERY WATCH.",DNA-event-derived,"Do not call it ""recovered"" — repair is unconfirmed until the next event holds."
weakening,topping / stretching / distributing,"Losing momentum, signalled by PEAK / PREMIUM / MANAGE or an exhaustion warning.",DNA-event-derived,"None"
broken,failed / broken down,"Upper-tier FAIL events (FAIL / FAILED / FAIL TEST / MODERATE FAIL / STRONG FAIL / CATASTROPHIC FAIL).",DNA-event-derived,"Do not soften to ""weak"" — broken means a failure event fired on a deciding tier."
uncertain,unclear / quiet / waiting,"No dominant reading: WAIT, missing data, or conflicting evidence across tiers.",neutral,"Do not read ""quiet"" as ""safe"" — absence of a signal is not an all-clear."
moneyness,ITM / OTM,"Whether an option strike is in or out of the money relative to the underlying price.",market-standard,"In prose write ""in the money"" / ""out of the money"", not ""ITM"" / ""OTM""."
days-to-expiration,DTE / time left,"Days remaining until the option contract expires.",market-standard,"None"
time decay,theta pressure,"Loss of option value as expiration approaches. Described qualitatively, never quantified.",market-standard,"FORBID ""theta"" and any Greek — the free data plan provides no trustworthy Greeks."
profitable,in profit / up,"Holding total_return_pct >= 0.",neutral,"Do not infer future profit from being currently profitable."
at a loss,down / losing,"Holding total_return_pct < 0.",neutral,"Do not infer recovery from a current loss."
average cost,entry cost / cost basis,"Weighted avg_cost per share or contract, from the valuation payload.",API field,"Do not say ""entry"" when you mean avg_cost — entry (first_entry) is a timestamp."
current price,mark / last,"current_price: live webhook close if present, else Massive daily close.",API field,"Do not call it a live quote — it is the freshest recorded close."
breakeven,break-even,"For options: strike plus (call) or minus (put) avg_cost.",API field,"None"
first entry,entry time,"first_entry timestamp the position or instrument was opened.",API field,"Do not confuse first_entry (timestamp) with avg_cost (price)."
stop,active stop,"active_stop: DNA Trade Box stop level on the active timeframe.",API field,"Do not invent a stop if active_stop is null."
target,active target,"active_target: DNA Trade Box target level on the active timeframe.",API field,"Do not present active_target as a predicted price."
hold,keep,"Keep the position unchanged; no threshold crossed.",intent,"None"
wait,stand by,"Take no action and await the next DNA event or confirmation.",intent,"Distinct from hold: wait implies an open decision is pending."
protect,de-risk / hedge,"Reduce downside risk without a full exit (tighten stop, or a protective leg).",intent,"Do not call it a ""hedge"" unless a protective leg is actually held."
reduce,trim / take some off,"Scale down size to lock partial gains or cut partial losses.",intent,"None"
close / stand aside,exit,"Exit the holding; optionally remain out until structure repairs.",intent,"Do not imply re-entry timing."
add after confirmation,scale in,"Add size only after the next event (ADD / MANAGE) confirms the signal.",intent,"Forbid adding on a single unconfirmed reading."
consider roll,roll,"Change strike or expiry of an option to stay in a constructive campaign.",intent,"Never prescribe a roll without chain evidence; strike/expiry only, no premium sizing."
monitor time decay,watch decay,"No directional action; track DTE pressure on the option.",intent,"Do not quantify decay (no Greeks)."
ignition / reload / add / manage / peak / fail,"(retain verbatim)","Distinctive DNA event names. Ignition=campaign start, Reload=recovery, Add=continuation, Manage=overextended, Peak=topping, Fail=breakdown.",DNA-event-vocabulary,"Retain verbatim only when referring to an actual engine event; do not genericise."
multi-leg option,spread / combo,"A position with more than one option leg. Future-ready: not yet represented in the manual positions model.",future-ready,"Mark as future-ready; do not fabricate legs or net Greeks."
