rule_id,family,instrument,campaign_condition,holding_state,tf_relationship,navigation_intent,status_label,conclusion,evidence_bullets,decision_change,prohibited_wording,required_api_fields,confidence_label
CC-broken,campaign,*,broken,*,*,*,Broken structure,"An upper-tier failure event has fired — the campaign structure is broken, not just quiet.","FAIL / FAILED / FAIL TEST event on Direction, Campaign, or Confirmation tier | primary tier read tone is neg","a RELOAD or STRONG START fires on a deciding tier","calling it a dip / a buying opportunity",state.phase; state.timeframe; tier.tone,structural
CC-weakening,campaign,*,weakening,*,*,*,Weakening,"Momentum is rolling over (PEAK / PREMIUM / MANAGE or an exhaustion warning) — the campaign is distributing, not yet breaking.","warn tone on a tier (PEAK / PREMIUM / MANAGE) | exhaustion_warning is true","an upper-tier FAIL event fires (→ broken), or a RELOAD repairs the read","the top is in / get out now",state.phase; state.exhaustion_warning; tier.tone,structural
CC-repairing,campaign,*,repairing,*,*,*,Repairing,"A recovery event (RELOAD) has fired after a failure — the structure is rebuilding but is unconfirmed.","recent_event is RELOAD / RECOVERY / RECOVERY WATCH | lower-tier tone pos while upper tiers are neu","the next event is ADD / MANAGE (→ expanding) or FAIL TEST (→ broken again)","calling it recovered / fixed",state.recent_event; state.phase; tier.tone,structural-unconfirmed
CC-expanding,campaign,*,expanding,*,*,*,Expanding,"The campaign tier is actively building (IGNITION / EXPANSION / ADD) — the strongest constructive state the engine produces.","campaign (owner) tier tone is pos | recent_event in the Ignition / Add family","PEAK / MANAGE fires (→ weakening) or a FAIL event fires (→ broken)","it can't lose / breakout guaranteed",state.phase; state.recent_event; tier.tone,confirmed
CC-constructive,campaign,*,constructive,*,*,*,Constructive,"Confirmation / Timing tiers are supportive while the campaign tier has not yet expanded — a genuine but unproven setup.","confirm or timing tier tone is pos | owner tier tone is neu or quiet","the campaign tier fires IGNITION (→ expanding) or a FAIL event fires (→ broken)","confirmation equals go",tier.tone,structural-unconfirmed
CC-uncertain,campaign,*,uncertain,*,*,*,Uncertain,"No dominant reading — WAIT, missing data, or conflicting evidence. Silence is not safety.","phase is WAIT with no classified event | newest reading is stale (bar_time older than a day)","any tier fires a classified event","quiet equals safe / no news is good news",state.phase; state.health; state.bar_time,no-basis
H-share-profit,holding,shares,*,profitable,*,*,Shares in profit,"The share position is profitable; the decision is whether to let it run or lock some in.","total_return_pct >= 0 | avg_cost below current_price","structure breaks on a deciding tier (→ protect / reduce)","let winners run forever",avg_cost; current_price; total_return_pct; total_pnl,mechanical
H-share-loss,holding,shares,*,at a loss,*,*,Shares at a loss,"The share position is under water; the question is downside risk, not recovery.","total_return_pct < 0 | avg_cost above current_price","structure repairs on a deciding tier (→ hold)","averaging down / it will come back",avg_cost; current_price; total_return_pct; total_pnl,mechanical
H-call-itm,holding,long call,*,ITM,*,*,Call in the money,"The call has intrinsic value; time decay is the main cost of holding on.","itm is true | current_price above strike","structure breaks (→ close / reduce)","it's house money / free",itm; strike; current_price; avg_cost,mechanical
H-call-otm,holding,long call,*,OTM,*,*,Call out of the money,"The call is pure time value; it needs the underlying to move soon to matter.","itm is false | current_price at or below strike","the underlying moves through the strike (→ ITM)","cheap so fine / lottery ticket",itm; strike; current_price,mechanical
